Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
India,IND,2012,63.639782,12.080408,5.7553225,75.21842,317.45135,87.19555,556.9909,3787.818,2036.4174
India,IND,2002,6.831,8.552064,0.038328055,6.0857697,200.0712,54.204597,265.54413,2012.7899,1311.6343
India,IND,2001,6.6051493,0,0.03264222,6.1252875,211.5882,53.248417,254.27748,1926.9531,1285.0222
India,IND,2011,54.704803,12.502778,2.281407,66.07612,363.32748,85.30224,602.85876,3478.864,1920.2164
India,IND,2000,5.382308,0,0.020908,4.677957,227.65968,44.743122,253.62692,1911.1661,1281.2372
India,IND,1999,5.382308,0,0.017921139,4.2758064,243.21074,36.115524,241.23369,1796.674,1222.579
India,IND,2010,45.632557,10.983733,0.31364027,54.00277,301.82782,61.47768,589.6162,3348.546,1832.5693
India,IND,1998,4.126013,,0.017921139,3.1905913,247.30107,32.265713,235.42874,1813.659,1113.5074
India,IND,2009,37.16364,8.838858,0.20945333,45.440216,296.9715,45.06526,491.08084,3268.2656,1793.4767
India,IND,1997,3.1336806,,0.017921139,2.9215052,207.61319,28.578918,214.52634,1755.3625,1039.8557
India,IND,2008,29.693884,10.363011,0.1770336,40.403576,323.63162,41.069977,399.87665,3020.762,1704.7189
India,IND,2007,23.631887,9.914723,0.16682972,33.03453,346.70337,48.38428,388.1026,2790.2725,1622.9005
India,IND,1996,2.413781,,0.017921139,2.5973601,204.20241,23.838755,197.31721,1678.4825,972.76135
India,IND,2006,17.834845,8.86546,0.020486915,26.568398,320.4419,48.142445,358.77188,2549.8647,1519.2104
India,IND,2022,130.06546,36.197903,248.08994,182.61719,456.0515,115.569664,581.8393,5581.4287,2791.5835
India,IND,2005,12.88098,8.345937,0.05206194,17.15471,278.95374,48.708836,343.25635,2456.1133,1438.144
India,IND,2021,117.34685,31.504736,178.73424,178.18063,419.5389,110.275894,620.8639,5359.929,2568.6013
India,IND,2020,104.88108,22.518284,154.11977,158.69983,429.93338,112.43298,603.6012,4714.672,2520.2527
India,IND,2019,100.591385,22.752974,121.96038,166.89456,427.20215,114.238106,592.4984,4989.023,2775.6797
